Date,Open,High,Low,Close,Adj Close,Volume
2024-06-12,4008.93,4014.42,3977.09,3979.18,3979.18,98440000
2024-06-11,3975.17,4015.84,3973.75,4008.93,4008.93,98690000
2024-06-10,3983.08,4008.60,3967.16,3973.52,3973.52,80890000
2024-06-06,3981.17,3990.76,3971.32,3978.75,3978.75,112710000
2024-06-05,3986.82,4005.66,3968.96,3980.32,3980.32,76440000
2024-06-04,3993.03,4002.69,3977.23,3985.97,3985.97,101910000
2024-06-03,3983.02,4011.88,3981.94,3993.03,3993.03,73040000
2024-05-30,3959.80,3981.74,3951.51,3971.01,3971.01,88330000
2024-05-29,3988.58,3995.76,3946.40,3959.80,3959.80,139600000
2024-05-28,4028.31,4049.05,3984.09,3986.89,3986.89,94010000
2024-05-27,4013.49,4047.59,4008.41,4027.46,4027.46,58460000
2024-05-23,4059.57,4084.62,4020.20,4023.64,4023.64,85060000
2024-05-22,4076.88,4092.39,4053.30,4057.87,4057.87,87510000
2024-05-21,4068.90,4094.77,4068.25,4075.18,4075.18,98350000
2024-05-20,4069.08,4082.14,4055.05,4067.20,4067.20,132450000
2024-05-16,4093.25,4108.23,4076.07,4085.78,4085.78,156720000
2024-05-15,4141.09,4142.57,4079.90,4093.25,4093.25,171610000
2024-05-14,4169.05,4171.46,4127.37,4136.85,4136.85,116650000
2024-05-13,4174.74,4188.99,4165.54,4173.28,4173.28,110870000
2024-05-09,4193.35,4203.23,4169.46,4179.74,4179.74,197940000
2024-05-08,4157.14,4194.21,4157.14,4193.35,4193.35,132890000
2024-05-07,4157.54,4167.42,4145.70,4156.29,4156.29,111960000
2024-05-06,4144.42,4162.64,4143.93,4155.85,4155.85,69530000
2024-05-02,4134.16,4147.76,4116.08,4140.82,4140.82,131700000
2024-05-01,4154.92,4164.21,4129.51,4133.14,4133.14,121750000
2024-04-30,4162.36,4178.20,4147.26,4155.77,4155.77,152830000
2024-04-29,4147.39,4161.44,4135.14,4160.66,4160.66,96270000
2024-04-25,4167.33,4187.86,4161.42,4169.87,4169.87,167850000
2024-04-24,4166.32,4203.37,4159.77,4167.33,4167.33,146030000
2024-04-23,4169.35,4186.92,4160.90,4166.32,4166.32,116870000
2024-04-22,4176.25,4204.88,4167.13,4167.66,4167.66,150510000
2024-04-18,4174.69,4220.33,4174.23,4208.17,4208.17,126950000
2024-04-17,4185.18,4199.00,4172.48,4172.93,4172.93,107710000
2024-04-16,4244.66,4258.52,4182.44,4184.31,4184.31,162310000
2024-04-15,4241.51,4246.90,4195.35,4243.78,4243.78,175120000
2024-04-04,4240.05,4280.19,4240.05,4266.74,4266.74,87440000
2024-04-03,4270.28,4270.28,4230.53,4240.05,4240.05,164870000
2024-04-02,4262.41,4275.62,4253.17,4269.40,4269.40,244850000
2024-04-01,4245.39,4265.28,4226.22,4263.29,4263.29,303070000
2024-03-28,4233.55,4254.20,4223.72,4232.94,4232.94,159850000
2024-03-27,4246.23,4266.28,4222.77,4231.79,4231.79,182020000
2024-03-26,4282.43,4300.50,4246.23,4246.23,4246.23,158160000
2024-03-25,4279.47,4297.04,4269.29,4281.55,4281.55,179960000
2024-03-21,4292.25,4300.78,4272.77,4277.61,4277.61,175120000
2024-03-20,4271.88,4294.06,4271.38,4291.37,4291.37,163130000
2024-03-19,4274.50,4284.48,4252.49,4272.76,4272.76,107050000
2024-03-18,4262.48,4279.02,4235.23,4275.38,4275.38,206790000
2024-03-14,4261.92,4292.85,4261.92,4290.34,4290.34,111260000
2024-03-13,4252.77,4266.57,4241.70,4259.24,4259.24,81390000
2024-03-12,4249.89,4259.95,4229.14,4252.77,4252.77,81480000
2024-03-11,4253.97,4269.85,4234.24,4248.10,4248.10,76420000
2024-03-07,4249.19,4249.98,4212.77,4236.98,4236.98,126450000
2024-03-06,4245.80,4252.33,4216.53,4248.30,4248.30,131340000
2024-03-05,4326.62,4329.47,4238.47,4258.04,4258.04,171500000
2024-03-04,4357.50,4405.74,4311.95,4326.62,4326.62,223320000
2024-02-29,4291.27,4311.50,4267.49,4308.77,4308.77,213790000
2024-02-28,4273.44,4292.39,4268.74,4290.38,4290.38,338730000
2024-02-27,4225.04,4275.52,4225.04,4272.55,4272.55,227150000
2024-02-26,4225.90,4235.43,4204.35,4223.25,4223.25,125970000
2024-02-22,4254.99,4263.04,4216.84,4229.21,4229.21,178310000
2024-02-21,4277.36,4284.10,4229.32,4254.99,4254.99,140570000
2024-02-20,4273.85,4289.43,4254.34,4277.36,4277.36,136180000
2024-02-19,4259.67,4283.07,4248.00,4272.96,4272.96,143510000
2024-02-15,4225.27,4241.57,4218.93,4238.95,4238.95,221400000
2024-02-14,4216.63,4235.08,4214.45,4234.84,4234.84,128550000
2024-02-13,4211.86,4230.23,4206.00,4219.31,4219.31,129280000
2024-02-12,4185.65,4211.34,4173.27,4209.64,4209.64,118360000
2024-02-08,4161.94,4190.70,4155.21,4159.10,4159.10,90490000
2024-02-06,4231.60,4240.38,4144.94,4153.74,4153.74,119190000
2024-02-05,4230.53,4250.99,4213.84,4230.70,4230.70,132130000
2024-02-01,4168.19,4227.60,4167.68,4220.35,4220.35,108800000
2024-01-31,4168.43,4208.03,4154.74,4169.08,4169.08,116500000
2024-01-30,4172.38,4224.02,4165.00,4168.43,4168.43,98100000
2024-01-29,4163.33,4173.80,4155.23,4170.59,4170.59,75390000
2024-01-25,4180.57,4207.84,4168.77,4173.55,4173.55,102000000
2024-01-24,4107.52,4196.03,4107.52,4181.47,4181.47,223750000
